date,CPI,Job Openings,Layoffs,Quits
2020-01-01,257.971,7124.0,1808.0,3563.0
2020-02-01,258.678,6966.0,1954.0,3497.0
2020-03-01,258.115,5894.0,12985.0,2933.0
2020-04-01,256.389,4606.0,9170.0,1991.0
2020-05-01,256.394,5612.0,2139.0,2259.0
2020-06-01,257.797,6129.0,2245.0,2594.0
2020-07-01,259.101,6530.0,1827.0,3020.0
2020-08-01,259.918,6429.0,1560.0,2931.0
2020-09-01,260.28,6511.0,1567.0,3185.0
2020-10-01,260.388,6798.0,1697.0,3311.0
2020-11-01,260.229,6820.0,2097.0,3209.0
2020-12-01,260.474,6773.0,1906.0,3369.0
2021-01-01,261.582,7162.0,1567.0,3292.0
2021-02-01,263.014,7827.0,1628.0,3373.0
2021-03-01,264.877,8499.0,1500.0,3654.0
2021-04-01,267.054,9346.0,1402.0,3943.0
2021-05-01,269.195,9954.0,1351.0,3817.0
2021-06-01,271.696,10319.0,1335.0,4017.0
2021-07-01,273.003,10983.0,1410.0,4059.0
2021-08-01,273.567,10872.0,1332.0,4171.0
2021-09-01,274.31,10834.0,1411.0,4354.0
2021-10-01,276.589,11238.0,1313.0,4153.0
2021-11-01,277.948,11199.0,1348.0,4453.0
2021-12-01,278.802,11520.0,1403.0,4314.0
2022-01-01,281.148,11210.0,1423.0,4413.0
2022-02-01,283.716,11698.0,1401.0,4233.0
2022-03-01,287.504,12301.0,1377.0,4447.0
2022-04-01,289.109,11861.0,1312.0,4499.0
2022-05-01,292.296,11535.0,1500.0,4237.0
2022-06-01,296.311,11283.0,1528.0,4165.0
2022-07-01,296.276,11576.0,1462.0,4031.0
2022-08-01,296.171,10092.0,1606.0,4258.0
2022-09-01,296.808,10800.0,1445.0,4134.0
2022-10-01,298.012,10447.0,1553.0,3956.0
2022-11-01,297.711,10632.0,1472.0,4083.0
2022-12-01,296.797,10902.0,1535.0,4125.0
2023-01-01,299.17,10318.0,1767.0,3839.0
2023-02-01,300.84,9857.0,1535.0,3917.0
2023-03-01,301.836,9655.0,1903.0,3800.0
2023-04-01,303.363,9966.0,1654.0,3617.0
2023-05-01,304.127,9368.0,1540.0,3999.0
2023-06-01,305.109,9180.0,1658.0,3693.0
2023-07-01,305.691,8657.0,1677.0,3552.0
2023-08-01,307.026,9254.0,1675.0,3621.0
2023-09-01,307.789,9259.0,1531.0,3644.0
2023-10-01,307.671,8580.0,1623.0,3574.0
2023-11-01,307.051,8602.0,1554.0,3576.0
2023-12-01,306.746,8520.0,1685.0,3412.0
2024-01-01,308.417,8378.0,1641.0,3347.0
2024-02-01,310.326,8440.0,1692.0,3482.0
2024-03-01,312.332,8206.0,1647.0,3289.0
2024-04-01,313.548,7529.0,1548.0,3438.0
2024-05-01,314.069,7782.0,1747.0,3386.0
2024-06-01,314.175,7416.0,1497.0,3280.0
2024-07-01,314.54,7426.0,1711.0,3359.0
2024-08-01,314.796,7520.0,1683.0,3240.0
2024-09-01,315.301,6943.0,1780.0,3123.0
2024-10-01,315.664,7379.0,1650.0,3215.0
2024-11-01,315.493,7566.0,1831.0,3050.0
2024-12-01,315.605,7295.0,1689.0,3085.0
2025-01-01,317.671,7431.0,1738.0,3203.0
2025-02-01,319.082,7242.0,1867.0,3153.0
2025-03-01,319.799,6952.0,1595.0,3456.0
2025-04-01,320.795,7098.0,1818.0,3144.0
2025-05-01,321.465,7310.0,1671.0,3287.0
2025-06-01,322.561,7204.0,1843.0,3254.0
2025-07-01,323.048,7089.0,1772.0,3132.0
2025-08-01,323.976,6919.0,1832.0,3095.0
2025-09-01,324.8,7169.0,1816.0,2990.0
2025-10-01,324.8,7170.0,1891.0,2980.0
2025-11-01,324.122,6846.0,1660.0,3119.0
2025-12-01,324.054,6550.0,1666.0,3225.0
2026-01-01,325.252,7240.0,1660.0,3131.0
2026-02-01,326.785,6922.0,1714.0,3046.0
2026-03-01,330.213,6887.0,1884.0,3160.0
2026-04-01,333.02,7585.0,1667.0,3043.0
2026-05-01,335.123,7537.0,1761.0,3153.0
2026-06-01,333.952,7182.0,1785.0,3213.0
2026-07-01,333.918,7271.0,1666.0,3056.0
